x,x_dot,sin_theta,cos_theta,theta_dot,control,x(t+1),X_dot(t+1),sin_theta(t+1),cos_theta(t+1),theta_dot(t+1)
-2.90555461,0.29573993,0.50308332,0.86423791,0.77547745,5.12177798,-2.90407591,0.2980655,0.50643052,0.86228077,0.78397419
-2.90407591,0.2980655,0.50643052,0.86228077,0.78397419,5.12289201,-2.90258558,0.30039401,0.50980665,0.86028901,0.79253323
-2.90258558,0.30039401,0.50980665,0.86028901,0.79253323,5.12381476,-2.90108361,0.30272573,0.51321168,0.85826207,0.80115505
-2.90108361,0.30272573,0.51321168,0.85826207,0.80115505,5.12454204,-2.89956998,0.30506094,0.51664555,0.85619938,0.80984013
-2.89956998,0.30506094,0.51664555,0.85619938,0.80984013,5.12506959,-2.89804468,0.30739992,0.52010823,0.85410036,0.81858895
-2.89804468,0.30739992,0.52010823,0.85410036,0.81858895,5.12539307,-2.89650768,0.30974297,0.52359965,0.85196444,0.82740197
-2.89650768,0.30974297,0.52359965,0.85196444,0.82740197,5.12550806,-2.89495896,0.31209041,0.52711975,0.84979102,0.83627967
-2.89495896,0.31209041,0.52711975,0.84979102,0.83627967,5.12541008,-2.89339851,0.31444255,0.53066844,0.8475795,0.8452225
-2.89339851,0.31444255,0.53066844,0.8475795,0.8452225,5.12509456,-2.8918263,0.31679975,0.53424566,0.84532927,0.85423094
-2.8918263,0.31679975,0.53424566,0.84532927,0.85423094,5.12455687,-2.8902423,0.31916234,0.53785131,0.84303972,0.86330542
-2.8902423,0.31916234,0.53785131,0.84303972,0.86330542,5.1237923,-2.88864649,0.32153069,0.54148529,0.84071022,0.87244642
-2.88864649,0.32153069,0.54148529,0.84071022,0.87244642,5.12279607,-2.88703883,0.32390519,0.5451475,0.83834015,0.88165436
-2.88703883,0.32390519,0.5451475,0.83834015,0.88165436,5.12156332,-2.88541931,0.32628622,0.54883782,0.83592885,0.8909297
-2.88541931,0.32628622,0.54883782,0.83592885,0.8909297,5.12008914,-2.88378788,0.32867419,0.55255613,0.83347569,0.90027288
-2.88378788,0.32867419,0.55255613,0.83347569,0.90027288,5.11836852,-2.88214451,0.33106952,0.5563023,0.83097999,0.90968432
-2.88214451,0.33106952,0.5563023,0.83097999,0.90968432,5.11639641,-2.88048916,0.33347265,0.56007618,0.82844111,0.91916445
-2.88048916,0.33347265,0.56007618,0.82844111,0.91916445,5.11416766,-2.8788218,0.33588403,0.56387762,0.82585836,0.9287137
-2.8788218,0.33588403,0.56387762,0.82585836,0.9287137,5.1116771,-2.87714238,0.33830412,0.56770646,0.82323106,0.93833249
-2.87714238,0.33830412,0.56770646,0.82323106,0.93833249,5.10891943,-2.87545086,0.34073342,0.57156252,0.82055852,0.94802122
-2.87545086,0.34073342,0.57156252,0.82055852,0.94802122,5.10588935,-2.87374719,0.34317242,0.57544561,0.81784005,0.9577803
-2.87374719,0.34317242,0.57544561,0.81784005,0.9577803,5.10258144,-2.87203133,0.34562164,0.57935556,0.81507493,0.96761014
-2.87203133,0.34562164,0.57935556,0.81507493,0.96761014,5.09899025,-2.87030322,0.3480816,0.58329213,0.81226245,0.97751113
